"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.460334972E2,4.736890409E1,8.512586948E0,4.284313701E2,3.215336092E0,2.218331757E2,1.424595437E1,5.978458685E0
1.470335053E2,4.736888729E1,8.512555011E0,4.284745049E2,2.916251772E0,2.218331757E2,1.424595443E1,5.964044001E0
1.480335132E2,4.736887335E1,8.512518824E0,4.282362069E2,2.725976972E0,2.218331757E2,1.424595442E1,6.378516739E0
1.490335221E2,4.736884127E1,8.512473747E0,4.290812454E2,3.580595951E0,2.218331757E2,1.424595424E1,6.710930908E0
1.500335312E2,4.736883251E1,8.512433906E0,4.290677391E2,3.172923570E0,2.230198212E2,1.424595426E1,6.913410677E0
1.510335407E2,4.736881171E1,8.512407402E0,4.294859249E2,3.185312912E0,2.230198212E2,1.424595433E1,6.629799124E0
1.520335499E2,4.736880683E1,8.512409009E0,4.294224597E2,2.030765645E0,2.230198212E2,1.424595443E1,6.574331682E0
1.530335602E2,4.736880040E1,8.512387400E0,4.296479922E2,1.627849946E0,2.230198212E2,1.424595449E1,6.002853980E0
1.540335698E2,4.736878967E1,8.512353785E0,4.290004943E2,2.172756274E0,2.230198212E2,1.424595442E1,6.419884371E0
1.550335807E2,4.736878456E1,8.512303553E0,4.292844100E2,2.767058897E0,2.230198212E2,1.424595445E1,6.186814692E0
1.560335908E2,4.736876822E1,8.512278005E0,4.292047850E2,2.978216528E0,2.230198212E2,1.424595446E1,6.109331939E0
1.570336018E2,4.736874782E1,8.512249982E0,4.285917516E2,2.949681758E0,2.230198212E2,1.424595442E1,6.229743918E0
1.580336137E2,4.736873891E1,8.512237746E0,4.284915666E2,2.339124590E0,2.230198212E2,1.424595447E1,5.941647863E0
1.590336243E2,4.736871597E1,8.512201017E0,4.281013416E2,2.676259971E0,2.282118988E2,1.424595447E1,5.464953551E0
1.600336360E2,4.736869368E1,8.512164306E0,4.283170576E2,2.889549133E0,2.282118988E2,1.424595445E1,5.603518288E0
1.610336469E2,4.736868205E1,8.512145147E0,4.283407538E2,2.461856043E0,2.282118988E2,1.424595448E1,5.187603017E0
1.620336592E2,4.736866867E1,8.512123119E0,4.281073830E2,2.067189088E0,2.282118988E2,1.424595448E1,5.102281518E0
1.630336716E2,4.736864317E1,8.512077457E0,4.279349936E2,3.220999735E0,2.295989532E2,1.424595442E1,5.193651642E0
1.640336843E2,4.736862208E1,8.512043771E0,4.267999586E2,3.260260385E0,2.281990967E2,1.424595444E1,5.223787906E0
1.650336964E2,4.736860409E1,8.512014157E0,4.267781085E2,3.574243722E0,2.281990967E2,1.424595452E1,5.237388495E0
1.660337089E2,4.736858674E1,8.511985595E0,4.258104928E2,3.729885105E0,2.281990967E2,1.424595450E1,4.934382670E0
1.670337211E2,4.736856582E1,8.511951151E0,4.265126396E2,3.508731983E0,2.281990967E2,1.424595450E1,4.587028630E0
1.680337334E2,4.736855561E1,8.511934353E0,4.251818254E2,2.779316946E0,2.281990967E2,1.424595454E1,4.288071470E0
1.690337459E2,4.736854444E1,8.511915965E0,4.258999600E2,2.274940537E0,2.281990967E2,1.424595456E1,4.050052725E0
1.700337596E2,4.736852741E1,8.511887925E0,4.250131759E2,1.839816090E0,2.281990967E2,1.424595455E1,4.039330057E0
1.710337713E2,4.736852460E1,8.511883297E0,4.258764490E2,1.361193474E0,2.281990967E2,1.424595458E1,4.151004610E0
1.720337853E2,4.736849806E1,8.511839659E0,4.254692915E2,2.088502874E0,2.288362427E2,1.424595456E1,4.150870721E0
1.730337986E2,4.736847279E1,8.511797120E0,4.258867160E2,2.929451839E0,2.288362427E2,1.424595455E1,4.083854552E0
1.740338112E2,4.736844331E1,8.511747483E0,4.256253907E2,3.430822701E0,2.288362427E2,1.424595451E1,4.129604107E0
1.750338242E2,4.736842446E1,8.511715745E0,4.253158175E2,3.290440303E0,2.288362427E2,1.424595451E1,4.165211106E0
1.760338376E2,4.736840871E1,8.511689234E0,4.248606940E2,2.829169931E0,2.288362427E2,1.424595450E1,4.160229981E0
1.770338514E2,4.736839489E1,8.511665971E0,4.246516190E2,2.602813385E0,2.288362427E2,1.424595445E1,4.726936451E0
1.780338647E2,4.736837037E1,8.511644080E0,4.248991825E2,2.568740481E0,2.288362427E2,1.424595445E1,5.478404998E0
1.790338783E2,4.736834115E1,8.511639556E0,4.252356193E2,2.780527356E0,2.288362427E2,1.424595440E1,5.719365712E0
1.800338920E2,4.736832031E1,8.511662224E0,4.254889652E2,2.512322583E0,1.727784296E2,1.424595446E1,6.126149806E0
1.810339050E2,4.736829342E1,8.511681798E0,4.257633221E2,2.655336156E0,1.613890487E2,1.424595449E1,6.417611424E0
1.820339190E2,4.736827495E1,8.511691226E0,4.263843431E2,2.662697066E0,1.481668307E2,1.387660529E1,6.821693602E0
1.830339323E2,4.736825626E1,8.511710746E0,4.259927696E2,2.482338989E0,1.480745882E2,1.347543726E1,7.018884664E0
1.840339453E2,4.736823182E1,8.511735012E0,4.267592395E2,2.505410407E0,1.485631054E2,1.301034606E1,6.945198706E0
1.850339602E2,4.736821452E1,8.511773779E0,4.265756918E2,2.783069303E0,1.365981126E2,1.263174432E1,6.482099296E0
1.860339738E2,4.736818880E1,8.511780191E0,4.265942982E2,2.821338212E0,1.475335440E2,1.271245482E1,6.303065850E0
1.870339873E2,4.736818010E1,8.511788753E0,4.261738747E2,2.170305673E0,1.531857119E2,1.278912977E1,6.101101629E0
1.880340015E2,4.736816367E1,8.511827181E0,4.269421170E2,2.394617075E0,1.441668073E2,1.286197098E1,6.046833810E0
1.890340151E2,4.736813574E1,8.511857436E0,4.265881565E2,2.755453579E0,1.472873066E2,1.293117018E1,5.692128892E0
1.900340295E2,4.736812331E1,8.511897772E0,4.268107043E2,2.641961751E0,1.367192988E2,1.299690941E1,5.586579966E0
1.910340432E2,4.736808348E1,8.511982558E0,4.266711822E2,4.478225447E0,1.235822042E2,1.305936166E1,5.572694826E0
1.920340565E2,4.736807378E1,8.512026394E0,4.263527925E2,4.153790397E0,1.149714488E2,1.311869132E1,5.305093877E0
1.930340708E2,4.736804962E1,8.512042405E0,4.267738304E2,3.415970626E0,1.219803330E2,1.317505444E1,5.812630393E0
1.940340846E2,4.736804023E1,8.512062576E0,4.279392988E2,2.392283332E0,1.263418559E2,1.322859946E1,5.944995621E0
1.950340986E2,4.736802751E1,8.512084260E0,4.290374501E2,2.334486660E0,1.325881222E2,1.327946724E1,5.716479267E0
1.960341128E2,4.736800779E1,8.512103158E0,4.276896659E2,2.431044038E0,1.434161720E2,1.332779159E1,5.441178592E0
1.970341264E2,4.736798347E1,8.512109573E0,4.277769018E2,2.497472452E0,1.496688004E2,1.337369968E1,5.747829209E0
1.980341409E2,4.736794349E1,8.512103801E0,4.273645749E2,3.113574782E0,1.664592339E2,1.341731233E1,6.075700199E0
1.990341545E2,4.736793652E1,8.512149063E0,4.278804947E2,2.869919537E0,1.364525817E2,1.345874453E1,6.362199806E0
2.000341694E2,4.736793338E1,8.512184710E0,4.272893034E2,2.801547087E0,1.159454118E2,1.349810511E1,6.241942930E0
2.010341827E2,4.736790241E1,8.512213762E0,4.278701288E2,3.242360497E0,1.222834431E2,1.353549755E1,6.281742280E0
2.020341974E2,4.736788883E1,8.512213661E0,4.281484359E2,2.453859667E0,1.324255443E2,1.357102036E1,6.314613587E0
2.030342116E2,4.736784899E1,8.512249746E0,4.279919510E2,3.406281398E0,1.418828676E2,1.360476700E1,6.660310854E0
2.040342255E2,4.736783096E1,8.512259005E0,4.280765231E2,2.860520906E0,1.475454915E2,1.363682638E1,6.711617392E0
2.050342400E2,4.736781753E1,8.512274539E0,4.291226423E2,2.368458869E0,1.483869688E2,1.366728285E1,6.819070336E0
2.060342538E2,4.736779906E1,8.512307856E0,4.278501659E2,2.765131376E0,1.430380846E2,1.369621646E1,6.769402082E0
2.070342680E2,4.736779373E1,8.512336609E0,4.293483378E2,2.405106058E0,1.364913506E2,1.372370336E1,6.992596800E0
2.080342816E2,4.736776691E1,8.512388416E0,4.284309689E2,3.517936453E0,1.356017996E2,1.374981595E1,6.805042732E0
2.090342959E2,4.736774689E1,8.512422852E0,4.290793463E2,3.481547646E0,1.319605159E2,1.377462292E1,6.406248670E0
2.100343100E2,4.736773513E1,8.512443540E0,4.293645923E2,2.966072559E0,1.329702704E2,1.379818949E1,6.642495599E0
2.110343248E2,4.736771562E1,8.512502566E0,4.284691778E2,3.575338596E0,1.271650075E2,1.382057784E1,6.863067260E0
