"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.507948152E2,4.736396856E1,8.512890948E0,4.374795082E2,1.871515571E0,3.106444466E2,2.274628111E1,1.209270258E1
1.517948157E2,4.736396691E1,8.512796976E0,4.345114365E2,3.962667061E0,2.819897687E2,2.212244424E1,1.213806925E1
1.527948175E2,4.736399291E1,8.512745272E0,4.364426212E2,4.694155952E0,2.986096927E2,2.149082446E1,1.143789036E1
1.537948194E2,4.736400331E1,8.512677669E0,4.359959868E2,5.486010739E0,2.987401071E2,2.074238475E1,1.213194632E1
1.547948219E2,4.736400495E1,8.512622252E0,4.348026649E2,5.404167534E0,2.899578702E2,2.001344169E1,1.202015279E1
1.557948237E2,4.736403295E1,8.512539670E0,4.356361269E2,6.379237828E0,2.961967994E2,1.920403209E1,1.051537569E1
1.567948272E2,4.736403059E1,8.512454732E0,4.352829073E2,6.563582552E0,2.898456058E2,1.846162743E1,9.509389844E0
1.577948305E2,4.736402668E1,8.512438139E0,4.359294837E2,4.401569985E0,2.925687168E2,1.871591352E1,1.020319996E1
1.587948339E2,4.736402783E1,8.512384497E0,4.369387729E2,3.836695484E0,2.873380136E2,1.800083813E1,1.007075752E1
1.597948390E2,4.736404280E1,8.512326184E0,4.370513355E2,3.916003734E0,2.907974675E2,1.738402862E1,9.364557301E0
1.607948427E2,4.736404600E1,8.512259631E0,4.367342812E2,3.906434206E0,2.833643432E2,1.684582084E1,9.221872798E0
1.617948467E2,4.736404172E1,8.512194747E0,4.349190044E2,4.282353861E0,2.733852475E2,1.647898052E1,9.088558638E0
