"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.246321103E2,4.736402156E1,8.512946030E0,4.324023274E2,1.822929109E0,1.060944104E2,6.228817417E0,5.058753935E0
1.256321161E2,4.736401323E1,8.512972082E0,4.330127668E2,1.797482518E0,1.081584962E2,6.188068838E0,5.065601137E0
1.266321208E2,4.736400701E1,8.512995316E0,4.331823970E2,1.747226376E0,1.136200119E2,6.209517745E0,4.954601575E0
1.276321252E2,4.736401297E1,8.513023317E0,4.334342498E2,1.773399595E0,9.795583633E1,6.109372813E0,4.760280560E0
1.286321301E2,4.736401421E1,8.513050651E0,4.327915056E2,1.764770082E0,8.852414424E1,6.144640507E0,4.873594028E0
1.296321353E2,4.736400793E1,8.513076791E0,4.330763144E2,1.758381056E0,9.258793683E1,6.240232374E0,4.973317730E0
1.306321398E2,4.736399970E1,8.513103269E0,4.328662380E2,1.793426214E0,9.908739776E1,6.414320865E0,5.025204397E0
1.316321441E2,4.736398922E1,8.513127023E0,4.327044563E2,1.816092778E0,1.140088112E2,6.295869599E0,5.036112210E0
1.326321492E2,4.736398537E1,8.513150245E0,4.327877195E2,1.778350281E0,1.130552990E2,6.322148129E0,4.953936704E0
1.336321541E2,4.736397853E1,8.513174973E0,4.325140944E2,1.766299318E0,1.101653676E2,6.340835802E0,4.959953527E0
1.346321582E2,4.736397624E1,8.513201219E0,4.326318523E2,1.761246315E0,1.060411685E2,6.450253891E0,4.907904182E0
1.348646885E2,4.736396883E1,8.513206885E0,4.331890426E2,2.368875095E-2,1.137276198E2,1.736798963E1,9.308655307E0
1.358646933E2,4.736396964E1,8.513204069E0,4.330928329E2,8.940239526E-2,1.137276177E2,1.761609337E1,9.509816225E0
1.368646991E2,4.736397106E1,8.513178534E0,4.335598206E2,2.147714046E-1,1.137275977E2,1.833359994E1,9.870668755E0
1.378641695E2,4.736397595E1,8.513161088E0,4.334751792E2,1.404547318E-1,1.137275848E2,1.787599925E1,9.918374906E0
1.388641696E2,4.736398138E1,8.513139713E0,4.336388138E2,2.101435714E-1,1.137275689E2,1.774241361E1,9.943186054E0
